ds,yhat,yhat_lower,yhat_upper,y
2024-10-07,269.9635251144183,242.98402338370622,299.87105455252987,244.64999389648438
2024-10-08,270.34450618104887,244.25646599607626,300.70286274610834,248.1999969482422
2024-10-09,270.61872300643637,243.00060151202302,298.6822763390742,250.0500030517578
2024-10-10,271.00640698289595,243.15003656504848,300.91387080962437,254.75
2024-10-11,270.9486451847796,242.66072307789986,299.6299202400242,252.0500030517578
2024-10-14,272.0167502372682,243.7338214137015,301.9234656699036,262.04998779296875
2024-10-15,272.30943478814277,241.62533917248516,302.4961966941722,256.70001220703125
2024-10-16,272.4782274638548,243.54088822026242,299.540721496698,258.0
2024-10-17,272.7462931385784,242.9263413620769,301.6450178618161,255.14999389648438
2024-10-18,272.558067559807,244.9715975349332,301.79721453543794,257.29998779296875
2024-10-21,273.20801640251324,241.92483147782042,303.4243269009122,251.6999969482422
2024-10-22,273.36622134776684,243.7606377906396,300.80723005755635,249.85000610351562
2024-10-23,273.41012382967773,245.87797501047203,302.95209619203877,252.35000610351562
2024-10-24,273.56710747299815,245.2164748690822,301.87741497021585,245.4499969482422
2024-10-25,273.2856492085554,245.69468887413817,302.34925005439203,248.39999389648438
2024-10-28,273.7987462629518,243.84007719189648,304.4077475189862,252.35000610351562
2024-10-29,273.9686867530954,243.29019908488303,301.3665485979924,248.10000610351562
2024-10-30,274.05650059514267,245.93339821465077,303.17510780357924,249.60000610351562
2024-10-31,274.2907089313508,246.48286845106728,301.6250092188287,245.89999389648438
2024-11-01,274.12021366154187,242.574428648627,304.2028025485869,242.9499969482422
2024-11-04,275.16163096864,246.31929462461488,304.6249473708284,245.9499969482422
2024-11-05,275.566704200915,243.23337262360855,304.5183433536971,250.14999389648438
2024-11-06,275.91427372616744,245.9227263539223,306.3631209828061,248.75
2024-11-07,276.4289125017452,246.6744934286836,307.12674719611806,260.3999938964844
2024-11-08,276.5549853909862,248.30329298540138,305.86667679253327,253.35000610351562
2024-11-11,278.530562458103,248.72273304149428,308.6749208680648,256.20001220703125
2024-11-12,279.2427770117679,250.5936693042086,308.581932208699,263.54998779296875
2024-11-13,279.8854388524536,253.32501360378328,308.87765271946205,271.6499938964844
2024-11-14,280.6771919769936,251.23715123900408,307.4700821175114,278.95001220703125
2024-11-15,281.0566714788891,254.2150545721812,311.7981001108538,281.79998779296875
2024-11-18,283.59857261094635,255.78049614466434,310.55142354100883,280.75
2024-11-19,284.4204232482024,256.17941346480376,316.506009685795,279.75
2024-11-20,285.12761960601847,254.5150095220098,314.392253373698,295.29998779296875
2024-11-21,285.9367006976111,255.9964830851522,314.99121100611507,298.6499938964844
2024-11-22,286.28509645892086,258.3640801157404,315.37062816370485,305.25
2024-11-25,288.44539798943333,260.5067313777367,316.2836430200527,308.3500061035156
2024-11-26,289.04939258586836,261.1993502601442,319.3749412822639,312.1499938964844
2024-11-27,289.49842434290986,258.335076950634,319.1617606539067,326.1499938964844
2024-11-29,290.03647126163395,259.4570186169496,316.94859360516824,321.6499938964844
2024-12-02,291.09358446258807,261.9362034642314,320.68457170186105,299.20001220703125
2024-12-03,291.30891064728917,261.31632648048605,317.9354253756168,297.70001220703125
2024-12-04,291.37009161101514,259.77727030519975,321.31244312301385,305.95001220703125
